assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000005845.2	PRJNA225	SAMN02604091		reference genome	511145	562	Escherichia coli str. K-12 substr. MG1655	strain=K-12 substr. MG1655		latest	Complete Genome	Major	Full	2013/09/26	ASM584v2	Univ. Wisconsin	GCF_000005845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2		assembly designated as neotype
GCA_000006665.1	PRJNA259	SAMN02604092		na	155864	562	Escherichia coli O157:H7 str. EDL933	strain=EDL933		latest	Chromosome	Major	Full	2004/12/06	ASM666v1	Univ. Wisconsin	GCF_000006665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/665/GCA_000006665.1_ASM666v1		
GCA_000007445.1	PRJNA313	SAMN02604094		na	199310	562	Escherichia coli CFT073	strain=CFT073		latest	Complete Genome	Major	Full	2002/12/06	ASM744v1	Univ. Wisconsin	GCF_000007445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/445/GCA_000007445.1_ASM744v1		
GCA_000008865.1	PRJNA226	SAMN01911278		reference genome	386585	562	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952		latest	Complete Genome	Major	Full	2004/05/11	ASM886v1	GIRC	GCF_000008865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/865/GCA_000008865.1_ASM886v1		
GCA_000009565.2	PRJEA28965	SAMEA2272558		na	469008	562	Escherichia coli BL21(DE3)	strain=BL21(DE3)		latest	Complete Genome	Major	Full	2010/12/09	ASM956v1	Austrian Center for Biopharmaceutical Technology	GCF_000009565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/565/GCA_000009565.2_ASM956v1		
GCA_000010245.1	PRJNA16351	SAMD00061081		na	316407	562	Escherichia coli str. K-12 substr. W3110	strain=K-12 substr. W3110		latest	Complete Genome	Major	Full	2006/01/23	ASM1024v1	Nara Institute of Science and Technology	GCF_000010245.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/245/GCA_000010245.1_ASM1024v1		
GCA_000010385.1	PRJNA18057	SAMD00061087		na	409438	562	Escherichia coli SE11	strain=SE11		latest	Complete Genome	Major	Full	2008/10/22	ASM1038v1	Kitasato Institute for Life Sciences	GCF_000010385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/385/GCA_000010385.1_ASM1038v1		
GCA_000010485.1	PRJDA19053	SAMD00060923		na	431946	562	Escherichia coli SE15	strain=SE15		latest	Complete Genome	Major	Full	2009/12/14	ASM1048v1	Kitasato University	GCF_000010485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/485/GCA_000010485.1_ASM1048v1		
GCA_000010745.1	PRJDA32511	SAMD00060956		na	585395	562	Escherichia coli O103:H2 str. 12009	strain=12009		latest	Complete Genome	Major	Full	2009/09/10	ASM1074v1	University of Tokyo, Graduate School of Frontier Sciences	GCF_000010745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/745/GCA_000010745.1_ASM1074v1		
GCA_000010765.1	PRJDA32513	SAMD00060957		na	585396	562	Escherichia coli O111:H- str. 11128	strain=11128		latest	Complete Genome	Major	Full	2009/09/10	ASM1076v1	University of Tokyo, Graduate School of Frontier Sciences	GCF_000010765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/765/GCA_000010765.1_ASM1076v1		
